'Asset ID','Description','Serial Number','Location','Date Acquired','Cost B/Fwd','Period Additions','Depn B/Fwd','Period Depreciation','Cost C/Fwd', 'Accum Depn C/Fwd','NBV','Disposal Value'
1,Main desk for Mildred from Malaysia Furnishing Centre,,Kampala,2014-03-31,313559,0,0,0,313559,0,313559,0
2,Mobile drawer from Malaysia Furnishing Centre,,Kampala,2014-03-31,220338,0,0,0,220338,0,220338,0
3,Parrot White board,,Kampala,2014-05-27,103500,0,0,0,103500,0,103500,0
4,6 seater dinning set from Malaysia Furnishing Centre,,Kampala,2015-02-20,2542373,0,0,0,2542373,0,2542373,0
5,6X6 Bed,,Kampala,2015-02-20,1271186,0,0,0,1271186,0,1271186,0
6,Deluxe premium from Megha Industries,,Kampala,2015-02-21,445000,0,0,0,445000,0,445000,0
7,Solar back up system bought from CLS,,Kampala,2015-02-25,200000,0,0,0,200000,0,200000,0
8,Solar Panels bought from CLS and solar display @ 200000/-,,Kampala,2015-02-25,200000,0,0,0,200000,0,200000,0
9,Solar Panels bought from CLS and solar display @ 200000/-,,Kampala,2015-02-25,200000,0,0,0,200000,0,200000,0
10,Solar Panels bought from CLS and solar display @ 200000/-,,Kampala,2015-02-25,200000,0,0,0,200000,0,200000,0
11,Solar Panels bought from CLS and solar display @ 200000/-,,Kampala,2015-02-25,200000,0,0,0,200000,0,200000,0
12,chair bought from CLS,,Kampala,2015-02-25,100000,0,0,0,100000,0,100000,0
13,chair bought from CLS,,Kampala,2015-02-25,100000,0,0,0,100000,0,100000,0
14,Desks bought from CLS,,Kampala,2015-02-25,100000,0,0,0,100000,0,100000,0
15,Desks bought from CLS,,Kampala,2015-02-25,100000,0,0,0,100000,0,100000,0
16,1 Fan bought fron CLS,,Kampala,2015-02-25,50000,0,0,0,50000,0,50000,0
17,Drill from Games,,Kampala,2015-03-08,195500,0,0,0,195500,0,195500,0
18,Shelf for office files,,Kampala,2015-08-07,130000,0,0,0,130000,0,130000,0
19,Office table,,Kampala,2015-07-23,65000,0,0,0,65000,0,65000,0
20,Office table for Esther from Kyabazinga Execustive Furniture Centre,,Kampala,2016-04-02,400000,0,0,0,400000,0,400000,0
21,GEN-UGX Office tabel for Mustafa from Kyabazinga Executive Furniture Centre,,Kampala,2016-03-23,350000,0,0,0,350000,0,350000,0
22,Simplifi Sign post from Nduph General Experts,,Kampala,2015-12-08,470000,0,0,0,470000,0,470000,0
23,Office chairs from Malaysia Furnishing Centre cheq 83 UGX 3344000,,Kampala,2016-03-02,836000,0,0,0,836000,0,836000,0
24,Office chairs from Malaysia Furnishing Centre cheq 83 UGX 3344000,,Kampala,2016-03-02,836000,0,0,0,836000,0,836000,0
25,Office chairs from Malaysia Furnishing Centre cheq 83 UGX 3344000,,Kampala,2016-03-02,836000,0,0,0,836000,0,836000,0
26,Office chairs from Malaysia Furnishing Centre cheq 83 UGX 3344000,,Kampala,2016-03-02,836000,0,0,0,836000,0,836000,0
27,Cheq 89 for ladder from Game Stores UGX 425000,,Kampala,2016-10-02,425000,0,0,0,425000,0,425000,0
28,US 2220- paid as Goodwill for takeover on wifi business market  after buying all stocks from Wayra and paid for by cash from Denis,,Kampala,2014-07-01,5983827.11,0,0,0,5983827.11,0,5983827.11,0
29,Website development and intergrtion by AdNote,,Kampala,2014-12-04,2000000,0,0,0,2000000,0,2000000,0
30,Office Mobile Phone purchased from Capital Evolution,,Kampala,2015-01-12,112000,0,0,0,112000,0,112000,0
31,Iqra Cooker IQ,7211-SS3+1,Kampala,2015-02-20,1150000,0,0,0,1150000,0,1150000,0
32,LG TV LED 32",LN4900,Kampala,2015-02-20,1000000,0,0,0,1000000,0,1000000,0
33,LG Fridge,Dbl Dr 205tr GN,Kampala,2015-02-20,1500000,0,0,0,1500000,0,1500000,0
34,Washing Machine,,Kampala,2015-02-20,1600000,0,0,0,1600000,0,1600000,0
35,Micro Wave Oven,,Kampala,2015-02-20,320000,0,0,0,320000,0,320000,0
36,Compstore laptop. Lenovo G50 for Esther,SYB08491427,Kampala,2015-06-30,1125000,0,0,0,1125000,0,1125000,0
37,Office Mobile Phone purchased from Capital Evolution,,Kampala,2015-12-01,112000,0,0,0,112000,0,112000,0
38,Compstore laptop. Lenovo G50,,Kampala,2015-06-30,1250000,0,0,0,1250000,0,1250000,0
39,Adoptable box for the UVC dome,,Kampala,2015-07-29,7000,0,0,0,7000,0,7000,0
40,Helmets for Simplifi staff,,Kampala,2015-07-23,92000,0,0,0,92000,0,92000,0
41,Helmets for Simplifi staff,,Kampala,2015-07-23,92000,0,0,0,92000,0,92000,0
42,Helmets for Simplifi staff,,Kampala,2015-07-23,92000,0,0,0,92000,0,92000,0
43,Cheq 125 towards 3 Dell Monitors for Office Use,,Kampala,2016-05-31,350000,0,0,0,350000,0,350000,0
44,Cheq 125 towards 3 Dell Monitors for Office Use,,Kampala,2016-05-31,350000,0,0,0,350000,0,350000,0
45,Cheq 125 towards 3 Dell Monitors for Office Use,,Kampala,2016-05-31,350000,0,0,0,350000,0,350000,0
46,L365 wireless printer for the office,,Kampala,2016-06-14,0,773447.22063423,0,0,773447.22063423,0,773447.22063423,0
